3,17759
3,22658
3,23188
3,20482
4,38976
4,47823
4,32230
4,46018
4,58986
5,72513
5,62711
5,68721
5,58868
5,77497
6,136339
6,99830
6,98839
6,172585
6,84791
7,240524
7,215026
7,164876
7,207406
7,199227
8,314900
8,285675
8,321159
8,290184
8,329596
9,466577
9,369834
9,386733
9,482039
9,421165
10,596728
10,462612
10,580557
10,732920
10,516615
11,714111
11,635050
11,728115
11,870744
11,962347
12,932426
12,919183
12,928530
12,1235222
12,1137886
13,1263646
13,1263898
13,1422505
13,1385328
13,1586525
14,1728916
14,1523442
14,2010206
14,1519000
14,1594543
15,2228512
15,2260922
15,2356847
15,1955347
15,1997274
16,2901800
16,2777031
16,2326553
16,2611746
16,3208308
17,3279597
17,3437088
17,3192386
17,3020464
17,3575829
18,4315596
18,4663122
18,5243806
18,4243304
18,4006503
19,4970880
19,5049190
19,4879010
19,4968643
19,5614673
20,6122415
20,7041649
20,6456118
20,4491012
20,6210191
21,8750594
21,6623524
21,8726723
21,7605693
21,7532429
22,9033009
22,7802560
22,7886180
22,7334852
22,8701649
23,9622083
23,9677692
23,10178906
23,9240629
23,9378166
24,12515092
24,11188813
24,11829890
24,11437859
24,11319088
25,13907052
25,14044752
25,11501706
25,12913755
25,14399122
26,16410421
26,18414229
26,17213773
26,14512774
26,16296345
27,18642054
27,20726506
27,14671793
27,18475206
27,19579849
28,21910547
28,21548104
28,21425392
28,21700486
28,19740935
29,22050332
29,23847573
29,24232064
29,24842932
29,20837954
30,26465571
30,27979642
30,24532591
31,29868993
31,31687836
31,33169445
31,31551065
31,27982993
32,34342062
32,36513535
32,33916185
32,32858895
32,33742850
