3,11011
3,10080
3,16216
3,13345
3,11691
4,24271
4,23069
4,17621
4,25769
4,29917
5,43859
5,32392
5,32077
5,28965
5,36738
6,71223
6,46790
6,53927
6,70593
6,42509
7,102971
7,86587
7,77037
7,80326
7,78672
8,123056
8,110545
8,112955
8,122585
8,109678
9,165419
9,132057
9,150526
9,169575
9,134345
10,196091
10,160043
10,184228
10,206478
10,180769
11,248103
11,206529
11,212731
11,243245
11,232826
12,286084
12,255300
12,264259
12,298778
12,284824
13,328854
13,308341
13,315220
13,336488
13,373798
14,395545
14,363401
14,394188
14,380638
14,395442
15,470392
15,424136
15,447056
15,436876
15,438010
16,548831
16,494849
16,525736
16,519758
16,528897
17,611368
17,590514
17,618819
17,557292
17,593736
18,721321
18,665078
18,671126
18,643391
18,673713
19,801908
19,752953
19,759591
19,688782
19,779735
20,899780
20,874046
20,844819
20,784594
20,830246
21,971668
21,950947
21,937794
21,851680
21,943060
22,1086039
22,1019237
22,978944
22,937401
22,1056012
23,1160923
23,1167672
23,1057736
23,1081109
23,1163890
24,1283255
24,1229565
24,1173876
24,1194749
24,1251050
25,1338264
25,1358843
25,1289428
25,1291753
25,1341329
26,1454308
26,1477664
26,1414465
26,1421112
26,1437152
27,1577085
27,1566855
27,1493460
27,1513260
27,1521762
28,1724113
28,1711180
28,1613037
28,1704988
28,1648160
29,1853252
29,1873005
29,1745490
29,1786805
29,1788684
30,1861908
30,1988743
30,1954432
31,2085962
31,2152568
31,2064388
31,2100363
31,2019042
32,2261577
32,2288065
32,2205715
32,2234012
36,2841761
36,2978462
36,2909155
36,2901287
36,2793418
40,3521401
40,3814525
40,3745886
40,3608456
40,3614384
44,4423731
44,4583449
44,4565884
44,4601066
44,4506284
48,5485535
48,5486944
48,5639324
48,5449710
48,5510476
